right_key	vertex	rem0	rem1	twin0	twin1	guess	domain_mask	matched
6807	0	2	6	10	3	5	7088	1
6808	0	2	6	10	4	5	7080	1
6809	0	2	6	10	5	7	7064	1
6811	0	2	6	10	7	5	6968	1
6812	0	2	6	10	8	5	6840	1
6813	0	2	6	10	9	8	6584	1
6814	0	2	6	10	10	5	7096	1
6815	0	2	6	10	11	5	5048	1
6816	0	2	6	10	12	5	3000	1
6821	0	2	6	11	3	8	6064	1
6822	0	2	6	11	4	5	6056	1
6823	0	2	6	11	5	7	6040	1
6825	0	2	6	11	7	5	5944	1
6826	0	2	6	11	8	5	5816	1
6827	0	2	6	11	9	8	5560	1
6828	0	2	6	11	10	5	5048	1
6829	0	2	6	11	11	5	6072	1
6830	0	2	6	11	12	5	1976	1
6835	0	2	6	12	3	8	4016	1
6836	0	2	6	12	4	8	4008	1
6837	0	2	6	12	5	8	3992	1
6839	0	2	6	12	7	10	3896	1
6840	0	2	6	12	8	10	3768	1
6841	0	2	6	12	9	8	3512	1
6842	0	2	6	12	10	8	3000	1
6843	0	2	6	12	11	8	1976	1
6844	0	2	6	12	12	8	4024	1
6905	0	2	7	3	3	8	8048	1
6906	0	2	7	3	4	10	8032	1
6907	0	2	7	3	5	11	8016	1
6908	0	2	7	3	6	8	7984	1
6910	0	2	7	3	8	10	7792	1
6911	0	2	7	3	9	11	7536	1
6912	0	2	7	3	10	8	7024	1
6913	0	2	7	3	11	8	6000	1
6914	0	2	7	3	12	10	3952	1
6919	0	2	7	4	3	5	8032	1
6920	0	2	7	4	4	5	8040	1
6921	0	2	7	4	5	8	8008	1
6922	0	2	7	4	6	12	7976	1
6924	0	2	7	4	8	11	7784	1
6925	0	2	7	4	9	5	7528	1
6926	0	2	7	4	10	5	7016	1
6927	0	2	7	4	11	8	5992	1
6928	0	2	7	4	12	8	3944	1
6933	0	2	7	5	3	8	8016	1
6934	0	2	7	5	4	10	8008	1
6935	0	2	7	5	5	8	8024	1
6936	0	2	7	5	6	8	7960	1
6938	0	2	7	5	8	10	7768	1
6939	0	2	7	5	9	8	7512	1
6940	0	2	7	5	10	8	7000	1
6941	0	2	7	5	11	12	5976	1
6942	0	2	7	5	12	9	3928	1
6947	0	2	7	6	3	5	7984	1
6948	0	2	7	6	4	5	7976	1
6949	0	2	7	6	5	8	7960	1
6950	0	2	7	6	6	11	7992	1
6952	0	2	7	6	8	5	7736	1
6953	0	2	7	6	9	11	7480	1
6954	0	2	7	6	10	5	6968	1
6955	0	2	7	6	11	8	5944	1
6956	0	2	7	6	12	5	3896	1
6975	0	2	7	8	3	5	7792	1
6976	0	2	7	8	4	3	7784	1
6977	0	2	7	8	5	10	7768	1
6978	0	2	7	8	6	10	7736	1
6980	0	2	7	8	8	5	7800	1
6981	0	2	7	8	9	5	7288	1
6982	0	2	7	8	10	5	6776	1
6983	0	2	7	8	11	5	5752	1
6984	0	2	7	8	12	10	3704	1
6989	0	2	7	9	3	5	7536	1
6990	0	2	7	9	4	5	7528	1
6991	0	2	7	9	5	8	7512	1
6992	0	2	7	9	6	12	7480	1
6994	0	2	7	9	8	5	7288	1
6995	0	2	7	9	9	5	7544	1
6996	0	2	7	9	10	5	6520	1
6997	0	2	7	9	11	5	5496	1
